latitude,longitude,location,weight,radius
66.871175,177.070231,International Date Line West,10,15
28.20721462,-177.3734929,Midway Island,10,15
-13.75902254,-172.1046282,Samoa,10,15
64.20084105,-149.4936724,Alaska,10,15
38.577053,-121.491084,Pacific Time (US & Canada),2,50
32.51494533,-117.0382419,Tijuana,10,15
39.740123,-104.988835,Mountain Time (US & Canada),2,50
34.04892558,-111.0937318,Arizona,10,15
28.63299469,-106.0691017,Chihuahua,10,15
23.24941381,-106.4111417,Mazatlan,10,15
39.080756,-94.586054,Central Time (US & Canada),2,50
52.93991867,-106.4508617,Saskatchewan,10,15
20.65969338,-103.3496017,Guadalajara,10,15
19.43194008,-99.13317108,Mexico City,10,15
25.68661421,-100.3161116,Monterrey,10,15
12.76901209,-85.6023614,Central America,10,15
39.30825644,-82.99917,Eastern Time (US & Canada),2,50
40.2671966,-86.13490141,Indiana ,10,15
4.710987718,-74.07201214,Bogota,10,15
-12.04637197,-77.04271262,Lima,10,15
-0.18065296,-78.46783129,Quito,10,15
53.31230348,-60.41347503,Atlantic Time (Canada),2,50
10.48059172,-66.9036011,Caracas,10,15
-16.48962702,-68.11929112,La Paz,10,15
38.90760637,-77.07225126,Georgetown,10,15
53.13550871,-57.66043945,Newfoundland,10,15
-33.43722153,-70.65001678,Santiago,10,15
-34.60368567,-58.38155957,Buenos Aires,10,15
71.70691175,-42.6043698,Greenland,10,15
-15.79422259,-47.88216785,Brasilia,10,15
39.07926403,-74.86631259,Mid-Atlantic,10,15
37.74124618,-25.67559421,Azores,10,15
16.5388271,-23.04183775,Cape Verde Is.,10,15
53.34806824,-6.248270034,Dublin,10,15
55.95429993,-3.201889992,Edinburgh,10,15
38.72225634,-9.139331497,Lisbon,10,15
51.50735844,-0.127752093,London,10,15
33.5731155,-7.589841244,Casablanca,10,15
34.14426559,-118.0019419,Monrovia,10,15
16.77259248,-3.00407409,UTC,10,15
44.78657338,20.44892335,Belgrade,10,15
48.14859789,17.1077428,Bratislava,10,15
47.49797782,19.0402312,Budapest,10,15
46.05694755,14.50575238,Ljubljana,10,15
50.0755382,14.43780237,Prague,10,15
43.85625719,18.41307302,Sarajevo,10,15
41.99734688,21.42799351,Skopje,10,15
52.22967856,21.01222344,Warsaw,10,15
45.81501751,15.98191262,Zagreb,10,15
50.85034833,4.35172713,Brussels,10,15
55.67609912,12.56833206,Copenhagen,10,15
40.41677662,-3.703796068,Madrid,10,15
48.85668005,2.352223854,Paris,10,15
52.33480072,4.870530128,Amsterdam,10,15
52.5200086,13.40492196,Berlin,10,15
46.94842911,7.440460205,Bern,10,15
41.90278687,12.49636205,Rome,10,15
59.32932972,18.06858296,Stockholm,10,15
48.2081779,16.37381268,Vienna,10,15
-26.2149343,28.27744633,West Central Africa,10,15
44.42676728,26.10253428,Bucharest,10,15
30.04441492,31.23571512,Cairo,10,15
60.17116165,24.93264961,Helsinki,10,15
50.45018266,30.52345001,Kiev,10,15
50.45018266,30.52345001,Kyiv,10,15
56.94964933,24.10518395,Riga,10,15
42.697707,23.32186382,Sofia,10,15
59.43696974,24.75357406,Tallinn,10,15
54.68715896,25.27965414,Vilnius,10,15
37.98380622,23.72753389,Athens,10,15
31.76835205,35.21357694,Jerusalem,10,15
-17.82516292,31.03350845,Harare,10,15
-25.74580956,28.18837929,Pretoria,10,15
41.00823672,28.97835475,Istanbul,10,15
53.90453883,27.56152452,Minsk,10,15
55.75589135,37.61729616,Moscow,10,15
59.93428982,30.33509497,St. Petersburg,10,15
48.7080798,44.51330729,Volgograd,10,15
29.31148024,47.48177779,Kuwait,10,15
24.71355405,46.67529765,Riyadh,10,15
-1.292062117,36.82194603,Nairobi,10,15
33.31280546,44.36148727,Baghdad,10,15
35.68954086,51.4146843,Tehran,10,15
24.4691906,54.37173843,Abu Dhabi,10,15
23.58538643,58.40592957,Muscat,10,15
40.40926662,49.86709817,Baku,10,15
41.71513683,44.82707344,Tbilisi,10,15
40.17918658,44.49910729,Yerevan,10,15
34.55534566,69.20741134,Kabul,10,15
56.83892931,60.60570993,Ekaterinburg,10,15
33.72938553,73.0931412,Islamabad,10,15
24.86146407,67.0099311,Karachi,10,15
41.29949677,69.24007113,Tashkent,10,15
13.08268214,80.27071132,Chennai,10,15
22.57053947,88.37123871,Kolkata,10,15
18.9401207,72.83486176,Mumbai,10,15
28.61393469,77.20902127,New Delhi,10,15
6.89400113,79.90515131,Sri Jayawardenepura,10,15
27.70000076,85.33300018,Kathmandu,10,15
51.16052838,71.47035117,Astana,10,15
23.81033901,90.41251148,Dhaka,10,15
43.22201708,76.85124126,Almaty,10,15
43.8255718,87.61681436,Urumqi,10,15
16.86606276,96.19511576,Rangoon,10,15
55.00835901,82.93573136,Novosibirsk,10,15
13.75335979,100.5048294,Bangkok,10,15
21.02776345,105.8341517,Hanoi,10,15
-6.175111012,106.8650318,Jakarta,10,15
56.01528918,92.89324152,Krasnoyarsk,10,15
40.16879654,116.405777,Beijing,10,15
29.43158482,106.9122175,Chongqing,10,15
22.39643669,114.1094187,Hong Kong,10,15
3.139051429,101.6868167,Kuala Lumpur,10,15
1.352022153,103.819817,Singapore,10,15
25.03738976,121.5635376,Taipei,10,15
-31.95052523,115.8604519,Perth,10,15
52.28697857,104.3050117,Irkutsk,10,15
47.88639785,106.9057418,Ulaan Bataar,10,15
37.56653595,126.9779663,Seoul,10,15
34.69373568,135.5021622,Osaka,10,15
43.06209706,141.3543723,Sapporo,10,15
35.68948585,139.6917023,Tokyo,10,15
62.03545102,129.6754721,Yakutsk,10,15
-12.46344204,130.8456421,Darwin,10,15
-27.46846008,153.0234222,Brisbane,10,15
43.11980706,131.8869222,Vladivostok,10,15
13.44432203,144.7937237,Guam,10,15
-9.478011553,147.1506524,Port Moresby,10,15
-9.64571158,160.1561262,Solomon Is.,10,15
-34.92424011,138.6008759,Adelaide,10,15
-35.28093578,149.1300024,Canberra,10,15
-37.8136262,144.9630524,Melbourne,10,15
-33.86959839,151.206955,Sydney,10,15
-42.883094,147.326154,Hobart,10,15
59.56115976,150.8301425,Magadan,10,15
-20.90433425,165.6180271,New Caledonia,10,15
56.1327392,159.5314326,Kamchatka,10,15
7.131411684,171.184428,Marshall Is.,10,15
-17.71332902,178.0650292,Fiji,10,15
-36.84845604,174.7633329,Auckland,10,15
-41.28646676,174.7762286,Wellington,10,15
-21.13934346,-175.2049287,Nuku'alofa,10,15
